name,site_type,link,unique_id,gallery_url,picture_url
Ruins of León Viejo,cultural,https://whc.unesco.org/en/list/613,613,https://whc.unesco.org/en/list/613/gallery,https://whc.unesco.org/uploads/thumbs/site_0613_0007-1200-630-20140623122739.jpg
León Cathedral,cultural,https://whc.unesco.org/en/list/1236,1236,https://whc.unesco.org/en/list/1236/gallery,https://whc.unesco.org/uploads/thumbs/site_1236_0002-1200-630-20121204142014.jpg
Air and Ténéré Natural Reserves,natural_danger,https://whc.unesco.org/en/list/573,573,https://whc.unesco.org/en/list/573/gallery,https://whc.unesco.org/uploads/thumbs/site_0573_0001-1200-630-20091005134412.jpg
W-Arly-Pendjari Complex,natural,https://whc.unesco.org/en/list/749,749,https://whc.unesco.org/en/list/749/gallery,https://whc.unesco.org/uploads/thumbs/site_0749_0007-1200-630-20170607180434.jpg
Historic Centre of Agadez,cultural,https://whc.unesco.org/en/list/1268,1268,https://whc.unesco.org/en/list/1268/gallery,https://whc.unesco.org/uploads/thumbs/site_1268_0002-1200-630-20230125170442.jpg
Sukur Cultural Landscape,cultural,https://whc.unesco.org/en/list/938,938,https://whc.unesco.org/en/list/938/gallery,
Osun-Osogbo Sacred Grove,cultural,https://whc.unesco.org/en/list/1118,1118,https://whc.unesco.org/en/list/1118/gallery,https://whc.unesco.org/uploads/thumbs/site_1118_0009-1200-630-20121213164740.jpg
Natural and Cultural Heritage of the Ohrid region,mixed,https://whc.unesco.org/en/list/99,99,https://whc.unesco.org/en/list/99/gallery,https://whc.unesco.org/uploads/thumbs/site_0099_0001-1200-630-20251023153858.jpg
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,natural,https://whc.unesco.org/en/list/1133,1133,https://whc.unesco.org/en/list/1133/gallery,https://whc.unesco.org/uploads/thumbs/site_1133_0076-1200-630-20251103122935.jpg
Bryggen,cultural,https://whc.unesco.org/en/list/59,59,https://whc.unesco.org/en/list/59/gallery,https://whc.unesco.org/uploads/thumbs/site_0059_0001-1200-630-20090914151456.jpg
Urnes Stave Church,cultural,https://whc.unesco.org/en/list/58,58,https://whc.unesco.org/en/list/58/gallery,https://whc.unesco.org/uploads/thumbs/site_0058_0007-1200-630-20160810112711.jpg
Røros Mining Town and the Circumference,cultural,https://whc.unesco.org/en/list/55,55,https://whc.unesco.org/en/list/55/gallery,https://whc.unesco.org/uploads/thumbs/site_0055_0003-1200-630-20151105150657.jpg
Rock Art of Alta,cultural,https://whc.unesco.org/en/list/352,352,https://whc.unesco.org/en/list/352/gallery,https://whc.unesco.org/uploads/thumbs/site_0352_0001-1200-630-20151105150631.jpg
Vegaøyan – The Vega Archipelago,cultural,https://whc.unesco.org/en/list/1143,1143,https://whc.unesco.org/en/list/1143/gallery,https://whc.unesco.org/uploads/thumbs/site_1143_0001-1200-630-20151105150758.jpg
Struve Geodetic Arc,cultural,https://whc.unesco.org/en/list/1187,1187,https://whc.unesco.org/en/list/1187/gallery,https://whc.unesco.org/uploads/thumbs/site_1187_0001-1200-630-20151104154840.jpg
West Norwegian Fjords – Geirangerfjord and Nærøyfjord,natural,https://whc.unesco.org/en/list/1195,1195,https://whc.unesco.org/en/list/1195/gallery,https://whc.unesco.org/uploads/thumbs/site_1195_0014-1200-630-20151105151059.jpg
Rjukan-Notodden Industrial Heritage Site,cultural,https://whc.unesco.org/en/list/1486,1486,https://whc.unesco.org/en/list/1486/gallery,https://whc.unesco.org/uploads/thumbs/site_1486_0006-1200-630-20221003171324.jpg
Bahla Fort,cultural,https://whc.unesco.org/en/list/433,433,https://whc.unesco.org/en/list/433/gallery,https://whc.unesco.org/uploads/thumbs/site_0433_0018-1200-630-20151104123656.jpg
"Archaeological Sites of Bat, Al-Khutm and Al-Ayn",cultural,https://whc.unesco.org/en/list/434,434,https://whc.unesco.org/en/list/434/gallery,https://whc.unesco.org/uploads/thumbs/site_0434_0001-1200-630-20240617092846.jpg
Arabian Oryx Sanctuary,natural,https://whc.unesco.org/en/list/654,654,https://whc.unesco.org/en/list/654/gallery,https://whc.unesco.org/uploads/thumbs/site_0654_0003-1200-630-20151105151212.jpg
Land of Frankincense,cultural,https://whc.unesco.org/en/list/1010,1010,https://whc.unesco.org/en/list/1010/gallery,https://whc.unesco.org/uploads/thumbs/site_1010_0001-1200-630-20151105152048.jpg
AflajIrrigation Systems of Oman,cultural,https://whc.unesco.org/en/list/1207,1207,https://whc.unesco.org/en/list/1207/gallery,https://whc.unesco.org/uploads/thumbs/site_1207_0011-1200-630-20151105150922.jpg
Ancient City of Qalhat,cultural,https://whc.unesco.org/en/list/1537,1537,https://whc.unesco.org/en/list/1537/gallery,https://whc.unesco.org/uploads/thumbs/site_1537_0001-1200-630-20180514162920.jpg
Archaeological Ruins at Moenjodaro,cultural,https://whc.unesco.org/en/list/138,138,https://whc.unesco.org/en/list/138/gallery,https://whc.unesco.org/uploads/thumbs/site_0138_0001-1200-630-20151105151254.jpg
Buddhist Ruins of Takht-i-Bahi and Neighbouring City Remains at Sahr-i-Bahlol,cultural,https://whc.unesco.org/en/list/140,140,https://whc.unesco.org/en/list/140/gallery,
Taxila,cultural,https://whc.unesco.org/en/list/139,139,https://whc.unesco.org/en/list/139/gallery,https://whc.unesco.org/uploads/thumbs/site_0139_0001-1200-630-20130801163450.jpg
Fort and Shalamar Gardens in Lahore,cultural,https://whc.unesco.org/en/list/171,171,https://whc.unesco.org/en/list/171/gallery,https://whc.unesco.org/uploads/thumbs/site_0171_0013-1200-630-20230510151028.jpg
"Historical Monuments at Makli, Thatta",cultural,https://whc.unesco.org/en/list/143,143,https://whc.unesco.org/en/list/143/gallery,https://whc.unesco.org/uploads/thumbs/site_0143_0001-1200-630-20080506170639.jpg
Rohtas Fort,cultural,https://whc.unesco.org/en/list/586,586,https://whc.unesco.org/en/list/586/gallery,https://whc.unesco.org/uploads/thumbs/site_0586_0001-1200-630-20090922160830.jpg
Rock Islands Southern Lagoon,mixed,https://whc.unesco.org/en/list/1386,1386,https://whc.unesco.org/en/list/1386/gallery,https://whc.unesco.org/uploads/thumbs/site_1386_0005-1200-630-20230405112620.jpg
Fortifications on the Caribbean Side of Panama: Portobelo-San Lorenzo,cultural_danger,https://whc.unesco.org/en/list/135,135,https://whc.unesco.org/en/list/135/gallery,https://whc.unesco.org/uploads/thumbs/site_0135_0001-1200-630-20151105151442.jpg
Darien National Park,natural,https://whc.unesco.org/en/list/159,159,https://whc.unesco.org/en/list/159/gallery,https://whc.unesco.org/uploads/thumbs/site_0159_0002-1200-630-20151105151403.jpg
Talamanca Range-La Amistad Reserves / La Amistad National Park,natural,https://whc.unesco.org/en/list/205,205,https://whc.unesco.org/en/list/205/gallery,https://whc.unesco.org/uploads/thumbs/site_0205_0002-1200-630-20151104121811.jpg
Coiba National Park and its Special Zone of Marine Protection,natural,https://whc.unesco.org/en/list/1138,1138,https://whc.unesco.org/en/list/1138/gallery,https://whc.unesco.org/uploads/thumbs/site_1138_0001-1200-630-20151126161220.jpg
The Colonial Transisthmian Route of Panamá,cultural,https://whc.unesco.org/en/list/1582,1582,https://whc.unesco.org/en/list/1582/gallery,https://whc.unesco.org/uploads/thumbs/site_1582_0010-1200-630-20250617160237.jpg
Kuk Early Agricultural Site,cultural,https://whc.unesco.org/en/list/887,887,https://whc.unesco.org/en/list/887/gallery,https://whc.unesco.org/uploads/thumbs/site_0887_0008-1200-630-20231018165439.jpg
Jesuit Missions of La Santísima Trinidad de Paraná and Jesús de Tavarangue,cultural,https://whc.unesco.org/en/list/648,648,https://whc.unesco.org/en/list/648/gallery,https://whc.unesco.org/uploads/thumbs/site_0648_0001-1200-630-20091005135745.jpg
City of Cuzco,cultural,https://whc.unesco.org/en/list/273,273,https://whc.unesco.org/en/list/273/gallery,https://whc.unesco.org/uploads/thumbs/site_0273_0026-1200-630-20251203131226.jpg
Historic Sanctuary of Machu Picchu,mixed,https://whc.unesco.org/en/list/274,274,https://whc.unesco.org/en/list/274/gallery,https://whc.unesco.org/uploads/thumbs/site_0274_0045-1200-630-20251203131306.jpg
Chavin (Archaeological Site),cultural,https://whc.unesco.org/en/list/330,330,https://whc.unesco.org/en/list/330/gallery,https://whc.unesco.org/uploads/thumbs/site_0330_0002-1200-630-20251203131338.jpg
Huascarán National Park,natural,https://whc.unesco.org/en/list/333,333,https://whc.unesco.org/en/list/333/gallery,https://whc.unesco.org/uploads/thumbs/site_0333_0002-1200-630-20251203172355.jpg
Chan Chan Archaeological Zone,cultural_danger,https://whc.unesco.org/en/list/366,366,https://whc.unesco.org/en/list/366/gallery,https://whc.unesco.org/uploads/thumbs/site_0366_0023-1200-630-20251203172444.jpg
Manú National Park,natural,https://whc.unesco.org/en/list/402,402,https://whc.unesco.org/en/list/402/gallery,https://whc.unesco.org/uploads/thumbs/site_0402_0004-1200-630-20130906155837.jpg
